danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,country
0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,spotify:track:6ts1KCOudfDYXYfyWtq0k1,188060,4,Japan
0.668,0.814,8,-3.732,1,0.0287,0.109,0.0,0.119,0.584,99.98,spotify:track:2cBAc8f0ueFKSXGQRJRsyN,218853,4,Japan
0.543,0.622,5,-4.735,1,0.03,0.0643,0.0,0.17,0.327,143.931,spotify:track:7eqjbcOZTgZbV0lX2ghtfV,257400,4,Japan
0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,spotify:track:6y4GYuZszeXNOXuBFsJlos,221426,4,Japan
0.456,0.91,0,-2.659,1,0.136,0.256,0.0,0.0921,0.329,95.927,spotify:track:2uky0VCI2EZni0nArOPznM,258542,4,Spain
0.827,0.541,11,-10.743,0,0.225,0.46,4.42e-05,0.0948,0.256,128.028,spotify:track:04d4GpLedinwpfctvgOIhY,213647,4,Spain
0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,153750,4,Spain
0.789,0.837,10,-3.247,1,0.23,0.125,0.0,0.209,0.476,81.536,spotify:track:6bQ5823aHmFVKLZW8E7rRo,200337,4,Spain
0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,spotify:track:4srcMdbm2qzVG98tJajHxp,240413,4,Spain
0.672,0.745,5,-5.269,0,0.3,0.438,9.29e-06,0.0699,0.739,173.974,spotify:track:0Bv7O6fmZk3GrNQFYJaXPn,413111,4,Spain
0.656,0.823,1,-3.059,0,0.315,0.47,0.0,0.103,0.755,96.474,spotify:track:2Gq636OOGgxCTqEuzCZhsa,160000,4,Spain
0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,spotify:track:0TkIQ2I48rz4kpk1XpfyHq,168000,4,Spain
0.796,0.68,10,-5.555,0,0.37,0.0575,0.000683,0.103,0.71,179.923,spotify:track:2rDZhKnPaPG054ExZ6nXUS,176143,4,Spain
0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,226088,4,Spain
0.453,0.673,8,-5.649,1,0.144,0.32,0.0,0.131,0.266,92.06,spotify:track:1UdzJEpgJxtuXAlCOvD4S0,159849,4,Spain
0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,224997,4,Spain
0.583,0.834,0,-4.875,1,0.0444,0.0495,0.0,0.0658,0.557,173.935,spotify:track:2gpQi3hbcUAcEG8m2dlgfB,178203,4,Spain
0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,spotify:track:3XjN0mvFkQp1FMVM9Ro5hm,248769,4,Spain
0.842,0.729,8,-4.404,1,0.0753,0.0991,6.71e-06,0.0695,0.96,89.978,spotify:track:6HXvazdtAr9hy0kThzxrE3,164000,4,Spain
0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,spotify:track:7dSZ6zGTQx66c2GF91xCrb,210200,4,Spain
0.682,0.708,6,-5.597,0,0.165,0.611,0.0328,0.0955,0.594,122.053,spotify:track:63ZedTAVRCICh2CNLWnsPZ,211456,4,Spain
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,spotify:track:4LRPiXqCikLlN15c3yImP7,167303,4,Spain
0.707,0.572,1,-5.378,1,0.157,0.497,4.06e-06,0.126,0.456,98.003,spotify:track:4FjkjrvfbB3C4eUqWlw3vB,168367,4,Spain
0.683,0.714,1,-4.898,1,0.252,0.181,1e-06,0.111,0.448,173.963,spotify:track:30W8VKHrAZmHzObnwAoc1u,174483,4,Spain
